image_name,x1,x2,y1,y2
JPEG_20160517_140621_1000651031832.png,39,639,3,479
1473231510890DeeplearnS11456.png,83,566,155,353
1476881557883Untitled1.png,18,546,136,449
1474264827890cobalt-beyond-the-sea-maxi-dress3.png,1,639,151,326
JPEG_20160711_113321_1000235741992.png,238,428,89,458
147954714706311.png,54,593,51,308
JPEG_20161117_154532_1000146348308.png,172,579,143,343
1469052256414DSC_0653.png,0,0,0,0
14581478747652.png,301,384,154,163
JPEG_20161207_165644_1000961805303.png,1,480,57,479
JPEG_20161118_190252_1000475666188.png,135,473,43,423
JPEG_20161123_181824_1000611096667.png,303,392,80,421
JPEG_20160526_150511_100091994275.png,1,405,1,479
1476878834852Untitled1.png,6,634,59,467
1470747128351DSC_0256.png,139,534,48,426
1469516484508DSC_0431_1.png,38,622,131,385
1475009449259DSC020551.png,16,624,98,369
147437487175911471341993644-Roadster-Cream-Coloured-Printed-T-shirt-8851471341993393-4.png,1,639,170,331
1475559143203mocha-chasing-summer-maxi-dress.png,4,631,174,342
147436763182011469615979143-Roadster-Blue-Skinny-Fit-Jeans-7871469615978787-1.png,1,639,94,355
1471594607670DSC_0103.png,54,512,185,303
JPEG_20161210_125104_1000144436971.png,64,545,58,370
147437508529811470139727518-Roadster-Navy-Hooded-Sweatshirt-6141470139727398-5.png,1,639,1,479
1473405665976black-always-open-back-midi-dress.png,3,632,181,318
JPEG_20161128_170230_1000366955179.png,37,576,193,307
JPEG_20161007_152608_1000228164735.png,42,605,187,347
147445039931011472642879846-Roadster-Women-Green-Checked-Shirt-Dress-5591472642879643-2.png,1,639,24,442
1476773560971DSC_8789.png,270,637,14,320
JPEG_20160611_120832_1000308675808.png,21,567,1,354
JPEG_20161126_144054_1000330319257.png,58,530,132,351
1472824149661DSC_3380.png,144,605,142,375
1467893191516DSC_0010.png,172,585,196,334
JPEG_20161124_171639_1000992177080.png,241,439,82,382
14714399918512.png,30,627,40,434
147444877948011471678765025-Roadster-Men-Light-Brown-Printed-T-shirt-4741471678764782-2.png,1,639,84,412
1467815275518DSC_0191.png,260,375,149,365
JPEG_20160929_113805_1000323994545.png,18,529,160,427
1474273419910MS-8502372.png,34,637,82,473
1479455928674Sin16-11-201611360.png,1,625,119,446
1474101498756black-olvera-open-back-maxi-dress.png,3,637,175,328
1474118108544BRT467334.png,20,621,100,305
147443857529811470052091818-RDSTR-Grey-Casual-Shirt-71470052101703-3.png,1,639,87,391
147444584239111469619096559-Roadster-Men-Casual-Shoes-9011469619096471-5.png,50,639,47,416
147142993226120160423_175742.png,34,631,101,338
JPEG_20160628_132756_1000139640802.png,114,452,136,376
1467785369215DSC_0019.png,247,410,127,276
147771707740120161028_153434.png,108,501,3,382
1474272589082NEL793066.png,506,527,217,231
147742431796620161025_142621.png,103,448,158,333
1479747460474SpringField16-11-201610890.png,1,639,113,411
JPEG_20160607_161754_100010819310.png,119,557,139,356
JPEG_20161025_124252_1000655486064.png,1,528,1,441
1474264604326coral-happily-ever-after-day-dress4.png,4,633,175,300
JPEG_20161123_131331_1000615275006.png,206,398,20,424
1472826035474DSC_3497.png,1,639,1,472
147771738670920161028_170650.png,97,639,89,479
1480502261060IMG_20161129_193613.png,34,639,84,349
JPEG_20160711_113533_1000157417450.png,68,584,171,319
JPEG_20160625_165009_1000802034298.png,319,537,179,307
1472553605548DSC_2022.png,98,542,22,392
1476774482036DSC_8658.png,142,504,83,413
147394330286111472637793392-Roadster-Men-Navy-Blue-Regular-Fit-Checked-Casual-Shirt-491472637793040-4.png,18,639,107,461
1472137733941DSC_0129.png,72,607,23,479
JPEG_20161124_185636_1000504616616.png,104,562,2,451
1470734265686DSC_0039.png,91,625,95,397
1480944164079_R2A1976.png,200,434,1,386
1475156977768DSC06936.png,207,423,56,431
1472630156514m1livi316_charcoal_l_alt_2.png,1,621,87,392
JPEG_20161028_103436_1000918087117.png,244,452,89,388
1480176547431Kraus22-11-1613931.png,92,617,153,344
1480513991329IMG_0475.png,38,494,150,321
1467739874045DSC_0042.png,232,487,198,293
